Date,temperature,humidity
2021-11-15 00:25,22.6,50
2021-11-15 00:27,22.6,49
2021-11-15 00:30,22.6,49
2021-11-15 00:32,22.6,50
2021-11-15 00:55,22.5,51
2021-11-15 01:25,22.3,52
2021-11-15 01:55,22.1,51
2021-11-15 01:57,22.1,51
2021-11-15 02:24,21.9,51
2021-11-15 02:27,21.9,51
2021-11-15 02:55,21.8,51
2021-11-15 03:25,21.7,52
2021-11-15 03:27,21.7,53
2021-11-15 03:30,21.7,53
2021-11-15 03:54,21.6,53
2021-11-15 04:24,21.3,56
2021-11-15 04:27,21.4,55
2021-11-15 04:55,21.3,56
2021-11-15 04:57,21.3,57
2021-11-15 05:00,21.3,57
2021-11-15 05:26,21.2,56
2021-11-15 05:54,21.1,56
2021-11-15 05:57,21.1,57
2021-11-15 05:59,21.0,58
2021-11-15 06:23,21.6,57
2021-11-15 06:25,21.7,58
2021-11-15 06:46,22.0,57
2021-11-15 06:48,22.1,59
2021-11-15 07:14,22.3,56
2021-11-15 07:44,22.5,54
2021-11-15 07:46,22.6,53
2021-11-15 08:14,22.8,54
2021-11-15 08:17,22.8,53
2021-11-15 08:19,22.8,53
2021-11-15 08:21,22.8,53
2021-11-15 08:42,22.4,52
2021-11-15 08:44,22.3,53
2021-11-15 08:46,22.3,53
2021-11-15 09:11,21.9,54
2021-11-15 09:40,21.6,54
2021-11-15 10:11,21.4,56
2021-11-15 10:41,21.3,56
2021-11-15 10:44,21.3,56
2021-11-15 11:10,21.3,55
2021-11-15 11:42,21.1,55
2021-11-15 12:11,21.0,55
2021-11-15 12:13,21.0,55
2021-11-15 12:41,21.0,55
2021-11-15 13:11,20.9,54
2021-11-15 13:41,20.9,53
2021-11-15 14:12,21.0,52
2021-11-15 14:40,21.0,51
2021-11-15 15:10,21.1,51
2021-11-15 15:40,21.1,50
2021-11-15 16:11,21.2,50
2021-11-15 16:40,21.2,49
2021-11-15 17:11,21.3,49
2021-11-15 17:41,21.2,49
2021-11-15 18:12,21.3,48
2021-11-15 18:42,21.3,48
2021-11-15 19:12,21.2,48
2021-11-15 19:26,21.7,49
2021-11-15 19:29,21.8,49
2021-11-15 19:31,21.8,49
2021-11-15 19:41,22.2,49
2021-11-15 19:43,22.2,49
2021-11-15 19:46,22.3,48
2021-11-15 19:48,22.3,48
2021-11-15 19:50,22.4,48
2021-11-15 19:53,22.4,49
2021-11-15 20:10,22.6,49
2021-11-15 20:41,22.9,48
2021-11-15 21:09,23.1,48
2021-11-15 21:11,23.1,48
2021-11-15 21:14,23.1,48
2021-11-15 21:40,23.1,48
2021-11-15 22:10,23.0,48
2021-11-15 22:40,23.2,48
2021-11-15 23:11,23.4,48
2021-11-15 23:13,23.5,48
2021-11-15 23:15,23.5,48
2021-11-15 23:39,23.6,48
2021-11-16 00:10,23.6,48
2021-11-16 00:12,23.6,49
2021-11-16 00:40,23.4,47
2021-11-16 01:06,23.0,47
2021-11-16 01:08,22.9,47
2021-11-16 01:37,22.6,47
2021-11-16 02:07,22.3,47
2021-11-16 02:09,22.3,47
2021-11-16 02:38,22.0,47
2021-11-16 02:40,22.0,47
2021-11-16 02:42,22.0,47
2021-11-16 03:06,21.9,48
2021-11-16 03:08,21.8,48
2021-11-16 03:11,21.9,48
2021-11-16 03:13,21.8,48
2021-11-16 03:37,21.8,48
2021-11-16 03:40,21.8,48
2021-11-16 03:42,21.8,48
2021-11-16 03:44,21.8,48
2021-11-16 04:06,21.7,48
2021-11-16 04:38,21.6,48
2021-11-16 05:07,21.6,48
2021-11-16 05:09,21.6,48
2021-11-16 05:11,21.7,49
2021-11-16 05:22,22.1,49
2021-11-16 05:24,22.2,49
2021-11-16 05:40,22.6,47
2021-11-16 06:10,22.8,47
2021-11-16 06:41,22.9,47
2021-11-16 07:11,23.1,46
2021-11-16 07:13,23.1,46
2021-11-16 07:16,23.1,46
2021-11-16 07:18,23.2,46
2021-11-16 07:40,23.3,46
2021-11-16 08:11,23.5,46
2021-11-16 08:41,23.6,46
2021-11-16 09:11,23.5,45
2021-11-16 11:46,22.6,45
2021-11-16 11:49,22.6,45
2021-11-16 11:53,22.6,45
2021-11-16 12:11,22.8,44
2021-11-16 12:14,22.8,44
2021-11-16 12:40,22.7,44
2021-11-16 12:42,22.7,44
2021-11-16 12:44,22.7,44
2021-11-16 13:11,22.6,43
2021-11-16 13:41,22.5,44
2021-11-16 14:28,22.3,45
2021-11-16 14:31,22.3,45
2021-11-16 14:33,22.3,45
2021-11-16 14:35,22.3,44
2021-11-16 14:41,22.3,44
